GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SpringBootDemo,com.howtodoinjava.rest,SpringBootDemoApplication,5,3,0,0,2,1,1,1,1,1
SpringBootDemo,com.howtodoinjava.rest.controller,ExampleController,5,5,0,0,2,2,1,2,1,2
